dateTime,hitName,rotation,distance,frame,%replayed
22-07-11_20-45-53,face_412,73,10,160621,98
22-07-11_20-45-53,face_412,73,9,160626,98
22-07-11_20-45-54,face_412,73,9,160631,98
22-07-11_20-45-54,metalBench (1),107,32,160637,98
22-07-11_20-45-54,metalBench (1),106,8,160642,98
22-07-11_20-45-55,metalBench (1),106,8,160647,98
22-07-11_20-45-55,metalBench (1),106,8,160652,98
22-07-11_20-45-55,metalBench (1),106,8,160657,98
22-07-11_20-45-56,metalBench (1),106,7,160662,98
22-07-11_20-45-56,metalBench (1),106,7,160667,98
22-07-11_20-45-56,metalBench (1),106,7,160672,98
22-07-11_20-45-57,metalBench (1),106,7,160677,98
22-07-11_20-45-57,metalBench (1),106,7,160682,98
22-07-11_20-45-57,metalBench (1),106,7,160687,98
22-07-11_20-45-58,metalBench (1),106,7,160692,98
22-07-11_20-45-58,metalBench (2),119,7,160725,98
22-07-11_20-45-59,metalBench (2),123,3,160730,98
22-07-11_20-45-59,metalBench (2),123,3,160735,98
22-07-11_20-46-03,House1,160,50,161006,99
22-07-11_20-46-03,House1,67,77,161012,99
22-07-11_20-46-04,House1,68,76,161017,99
22-07-11_20-46-04,House1,68,76,161022,99
22-07-11_20-46-04,House1,68,76,161027,99
22-07-11_20-46-05,House1,68,76,161032,99
22-07-11_20-46-05,House1,148,34,161067,99
22-07-11_20-46-06,House1,67,77,161072,99
22-07-11_20-46-06,House1,67,77,161077,99
22-07-11_20-46-06,House1,67,77,161082,99
22-07-11_20-46-07,streetLight2 (30),67,77,161108,99
22-07-11_20-46-07,streetLight2 (30),128,47,161113,99
22-07-11_20-46-08,streetLight2 (30),128,47,161118,99
22-07-11_20-46-08,House_2,38,29,161173,99
22-07-11_20-46-09,House_2,35,88,161178,99
22-07-11_20-46-09,House_2,35,88,161183,99
22-07-11_20-46-09,House_2,35,88,161188,99
22-07-11_20-46-10,House_2,35,88,161193,99
22-07-11_20-46-10,House_1,35,88,161202,99
22-07-11_20-46-10,House_1,42,86,161207,99
22-07-11_20-46-11,House_1,42,86,161212,99
22-07-11_20-46-11,House_1,42,86,161217,99
22-07-11_20-46-13,B027,42,86,161316,99
22-07-11_20-46-14,Cathedral,93,30,161397,99
22-07-11_20-46-14,Cathedral,93,30,161402,99
22-07-11_20-46-15,Cathedral,93,30,161407,99
22-07-11_20-46-15,Cathedral,93,30,161412,99
22-07-11_20-46-15,Cathedral,93,30,161417,99
22-07-11_20-46-15,Cathedral,93,30,161422,99
22-07-11_20-46-16,B027,93,30,161435,99
22-07-11_20-46-16,B027,1,37,161442,99
22-07-11_20-46-17,B027,1,37,161447,99
22-07-11_20-46-17,B027,1,37,161457,99
22-07-11_20-46-17,B027,6,37,161462,99
22-07-11_20-46-18,B027,6,37,161467,99
22-07-11_20-46-18,B027,6,37,161472,99
22-07-11_20-46-19,B027,6,37,161499,99
22-07-11_20-46-19,B027,2,37,161504,99
22-07-11_20-46-19,Cathedral,1,37,161517,99
22-07-11_20-46-19,Cathedral,1,37,161522,99
22-07-11_20-46-20,Cathedral,1,37,161527,99
22-07-11_20-46-21,B013,1,37,161565,99
22-07-11_20-46-21,B027,4,37,161571,99
22-07-11_20-46-21,B027,2,37,161576,99
22-07-11_20-46-22,B027,1,37,161581,99
22-07-11_20-46-22,B027,1,37,161586,99
22-07-11_20-46-22,B027,1,37,161591,99
22-07-11_20-46-23,B027,11,15,161622,99
22-07-11_20-46-23,B027,3,37,161627,99
22-07-11_20-46-23,B027,3,37,161632,99
22-07-11_20-46-24,B027,3,37,161637,99
22-07-11_20-46-24,B027,3,37,161642,99
22-07-11_20-46-24,B027,3,37,161647,99
22-07-11_20-46-25,B027,3,37,161652,99
22-07-11_20-46-25,B027,3,37,161659,99
22-07-11_20-46-25,B027,8,37,161664,99
22-07-11_20-46-26,B027,8,37,161669,99
22-07-11_20-46-26,B027,8,37,161674,99
22-07-11_20-46-26,B027,8,37,161682,99
22-07-11_20-46-27,B027,1,37,161688,99
22-07-11_20-46-27,B027,0,37,161693,99
22-07-11_20-46-27,B027,0,37,161698,99
22-07-11_20-46-28,B027,0,37,161703,99
22-07-11_20-46-28,B027,9,16,161730,99
22-07-11_20-46-29,B027,1,37,161736,99
22-07-11_20-46-29,Cathedral,0,37,161748,99
22-07-11_20-46-29,Cathedral,47,58,161753,99
22-07-11_20-46-30,Cathedral,47,58,161758,99
22-07-11_20-46-30,Cathedral,47,58,161763,99
22-07-11_20-46-30,B027,47,58,161772,99
22-07-11_20-46-30,B027,1,37,161777,99
22-07-11_20-46-31,B027,1,37,161782,99
22-07-11_20-46-31,B027,1,37,161787,99
22-07-11_20-46-31,B027,4,37,161792,99
22-07-11_20-46-32,B027,3,37,161797,99
22-07-11_20-46-32,B027,4,37,161802,99
22-07-11_20-46-32,B027,4,37,161807,99
22-07-11_20-46-33,B027,4,37,161820,99
22-07-11_20-46-33,B027,0,37,161825,99
22-07-11_20-46-33,B027,0,37,161830,99
22-07-11_20-46-34,B027,0,37,161835,99
22-07-11_20-46-34,B027,0,37,161846,99
22-07-11_20-46-35,B027,8,37,161851,99
22-07-11_20-46-35,B027,8,37,161856,99
22-07-11_20-46-35,B027,8,37,161861,99
22-07-11_20-46-36,B027,8,37,161881,99
22-07-11_20-46-36,B027,0,37,161886,99
22-07-11_20-46-36,B027,0,37,161891,99
22-07-11_20-46-37,B027,1,37,161907,99
22-07-11_20-46-37,B027,5,37,161912,99
22-07-11_20-46-37,streetLight2 (31),5,37,161921,99
22-07-11_20-46-38,streetLight2 (31),11,23,161926,99
22-07-11_20-46-38,streetLight2 (31),11,23,161931,99
22-07-11_20-46-38,B027,10,23,161942,99
22-07-11_20-46-39,B027,6,37,161947,99
22-07-11_20-46-39,B027,5,37,161952,99
22-07-11_20-46-39,B027,5,37,161961,99
22-07-11_20-46-40,B027,7,37,161966,99
22-07-11_20-46-40,B027,7,37,161971,99
22-07-11_20-46-41,B027,7,37,161983,99
22-07-11_20-46-41,B027,1,37,161988,99
22-07-11_20-46-41,B027,1,37,161993,99
22-07-11_20-46-41,B027,0,37,161998,99
22-07-11_20-46-42,B027,0,37,162003,99
22-07-11_20-46-42,B027,0,37,162015,99
22-07-11_20-46-43,B027,2,37,162020,99
22-07-11_20-46-43,B027,12,22,162051,99
22-07-11_20-46-44,B027,8,37,162056,99
22-07-11_20-46-44,B027,8,37,162061,99
22-07-11_20-46-44,B027,8,37,162066,99
22-07-11_20-46-44,B027,8,37,162071,99
22-07-11_20-46-45,B027,8,37,162076,99
22-07-11_20-46-45,trashcan_squarePrefab,4,31,162103,99
22-07-11_20-46-46,trashcan_squarePrefab,21,33,162108,99
22-07-11_20-46-49,B027,0,37,162323,99
22-07-11_20-46-50,B027,127,59,162376,99
22-07-11_20-46-50,B027,6,37,162381,99
22-07-11_20-46-52,B027,4,30,162478,99
22-07-11_20-46-52,B027,9,37,162483,99
22-07-11_20-46-53,B027,148,57,162550,99
